127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000559
127.0.0.1, 2017-08-08 20:08:33, GET, /robots.txt, HTTP/1.1, 400, 0.000546
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000562
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000371
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000370
127.0.0.1, 2017-08-08 20:08:33, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000371
127.0.0.1, 2017-08-08 20:08:38, GET, /robots.txt, HTTP/1.1, 400, 0.000403
127.0.0.1, 2017-08-08 20:08:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.036306
127.0.0.1, 2017-08-08 20:08:38, GET, /robots.txt, HTTP/1.1, 400, 0.000426
127.0.0.1, 2017-08-08 20:08:50, GET, /robots.txt, HTTP/1.1, 400, 0.000374
127.0.0.1, 2017-08-08 20:08:50, GET, /admin/default/site, HTTP/1.1, 303, 0.274891
127.0.0.1, 2017-08-08 20:08:50, GET, /admin/default/index, HTTP/1.1, 200, 0.069516
127.0.0.1, 2017-08-08 20:08:50, GET, /robots.txt, HTTP/1.1, 400, 0.000470
127.0.0.1, 2017-08-08 20:08:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000379
127.0.0.1, 2017-08-08 20:08:52, GET, /robots.txt, HTTP/1.1, 400, 0.000308
127.0.0.1, 2017-08-08 20:08:52, POST, /admin/default/index, HTTP/1.1, 303, 0.012146
127.0.0.1, 2017-08-08 20:08:52, GET, /admin/default/site, HTTP/1.1, 200, 0.092331
127.0.0.1, 2017-08-08 20:08:52, GET, /robots.txt, HTTP/1.1, 400, 0.001017
127.0.0.1, 2017-08-08 20:08:53, POST, /admin/default/check_version, HTTP/1.1, 200, 1.097693
127.0.0.1, 2017-08-08 20:08:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000430
127.0.0.1, 2017-08-08 20:08:55, GET, /robots.txt, HTTP/1.1, 400, 0.000306
127.0.0.1, 2017-08-08 20:08:56, GET, /robots.txt, HTTP/1.1, 400, 0.000273
127.0.0.1, 2017-08-08 20:08:57, GET, /diario_obra/default/index, HTTP/1.1, 500, 0.276843
127.0.0.1, 2017-08-08 20:08:57, GET, /robots.txt, HTTP/1.1, 400, 0.000375
127.0.0.1, 2017-08-08 20:08:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000513
127.0.0.1, 2017-08-08 20:08:59, GET, /robots.txt, HTTP/1.1, 400, 0.000386
127.0.0.1, 2017-08-08 20:08:59, GET, /admin/default/ticket/diario_obra/127.0.0.1.2017-08-08.20-08-56.45bf48ac-c321-4ab2-bec7-99135026eb0c, HTTP/1.1, 200, 0.111798
127.0.0.1, 2017-08-08 20:08:59, GET, /robots.txt, HTTP/1.1, 400, 0.000496
127.0.0.1, 2017-08-08 20:08:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000420
